姓名,朝代,生卒年,职称,代表作,著作,简介,影响力
蒯祥,明,1397年—1481年,工部左侍郎,北京故宫承天门（天安门）；北京故宫三大殿；裕陵,,明代著名建筑工匠，以木工起家，凭借精湛技艺升至工部左侍郎。主持设计和建造了北京故宫的承天门（天安门前身）、三大殿等核心建筑，被明英宗赞誉为'蒯鲁班'，是北京故宫建筑群的最重要设计者之一。,10
阮安,明,约1380年—约1453年,宦官/工程总管,北京三大殿修复；北京城池扩建；通惠河疏浚,,明代著名建筑工程师，虽为宦官，但精通建筑与水利工程，主持了多次北京城的重大建设工程，包括三大殿修复、城池扩建和通惠河疏浚，在明代建筑史上地位举足轻重。,8
计成,明,1582年—约1642年,造园家/匠师,东第园（扬州）；寤园（常州）；影园（扬州）,《园冶》（三卷）,明代著名造园家，撰写了中国第一部系统论述造园艺术的专著《园冶》（1634年），涵盖造园的立意、相地、布局、叠山、理水、建筑等全方位理论，被誉为世界造园学的经典之作，对日本、欧洲园林艺术均产生影响。,10
冯巧,明末清初,生卒年不详（明末清初）,工部工匠,明末清初宫殿营造,,明末清初著名工匠，技艺精湛，曾任职于工部，多次负责宫殿营造事务，是梁九的师父，对清初宫廷建筑技艺的传承起到重要作用。,6
梁九,清,约1618年—约1698年,工部工匠/样式房总管,故宫太和殿重建；景山诸殿,,清代著名建筑工匠，师从冯巧，主持康熙年间太和殿的重建工程。太和殿是现存规模最大的古代木构建筑，梁九以精湛技艺保证了工程质量，被誉为清初建筑业的最杰出匠师。,9
雷发达,清,1619年—1693年,样式房掌案（样式雷始祖）,圆明园；颐和园；避暑山庄；清西陵；清东陵,样式雷图档（烫样）,清代著名建筑师，样式雷世家创始人，凭精湛技艺得到康熙赏识，进入宫廷样式房任掌案。此后雷氏家族历经八代（约200年），负责几乎所有清代皇家建筑的设计，留下的建筑图档（烫样）是中国建筑史上无与伦比的珍贵遗产。,10
张涟,明末清初,约1587年—约1671年,造园叠山匠师,弇山园（太仓）；豫园修缮（上海）,,明末清初著名造园叠山匠师，以叠石造山技艺享誉江南，开创了'张氏叠山'流派，影响清代宫廷叠山造园，其子张然继承衣钵，进入清宫主持御苑造园工程。,7
张然,清,约1625年—约1700年,宫廷叠山匠师,玉泉山静明园叠山；瀛台修缮,,清代著名宫廷造园叠山匠师，张涟之子，继承父业进入清宫，主持玉泉山静明园等皇家园林的叠石造山工程，代表了清代皇家园林叠山艺术的最高水平。,7
李冲,北魏,450年—498年,尚书仆射（主管营建）,北魏洛阳城营建,,北魏孝文帝时期的著名官员和建筑主管，与蒋少游共同主持北魏迁都后洛阳城的营建工程，奠定了洛阳作为北朝政治文化中心的城市格局。,7
张志纯,元,约1195年—约1275年,全真道士/营建监管,永乐宫（芮城）壁画工程监造,,元代著名道士及建筑监管者，主持山西芮城永乐宫的营建工程，永乐宫保存了中国面积最大的元代道教壁画（1000余平方米），是元代建筑与绘画艺术的集大成之作。,7
